date,keyword,article_title,file_path,importance,source,title
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/「来るべきものが来た」、AnthropicがMythosクラスのAIモデルを一般公開へ | 日経クロステック（xTECH）.md,4,日経xTECH,「来るべきものが来た」、AnthropicがMythosクラスのAIモデルを一般公開へ | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/AIデータセンターの直流800V給電、登場は2027年か　米TI見通し | 日経クロステック（xTECH）.md,3,日経xTECH,AIデータセンターの直流800V給電、登場は2027年か　米TI見通し | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/「MINORIのこの状況を、いつまでも続けるのか……」 | 日経クロステック（xTECH）.md,3,日経xTECH,「MINORIのこの状況を、いつまでも続けるのか……」 | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/TLS証明書の有効期間が短縮、段階的に47日へ　更新漏れが障害リスクに | 日経クロステック（xTECH）.md,4,日経xTECH,TLS証明書の有効期間が短縮、段階的に47日へ　更新漏れが障害リスクに | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/ナフサ分解プラント稼働率、「大きな変化なし」旭化成社長 | 日経クロステック（xTECH）.md,2,日経xTECH,ナフサ分解プラント稼働率、「大きな変化なし」旭化成社長 | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/中外製薬、抗体特化のプロテインAI独自開発　アステラスは拡散モデルに着目 | 日経クロステック（xTECH）.md,3,日経xTECH,中外製薬、抗体特化のプロテインAI独自開発　アステラスは拡散モデルに着目 | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/SBI新生銀、「第4のメガバンク構想」の役割に変化　利上げで悩む地銀を支援 | 日経クロステック（xTECH）.md,2,日経xTECH,SBI新生銀、「第4のメガバンク構想」の役割に変化　利上げで悩む地銀を支援 | 日経クロステック（xTECH）
2026-05-29,IT,,/app/src/data/日経xTECH/20260529/IT/目的に合うフリーソフト選びを「Gemini」に相談、使い方や時短術も聞ける | 日経クロステック（xTECH）.md,2,日経xTECH,目的に合うフリーソフト選びを「Gemini」に相談、使い方や時短術も聞ける | 日経クロステック（xTECH）
2026-05-28,IT,,/app/src/data/日経xTECH/20260528/IT/Mythos発見の脆弱性も慌てず対処可能に、マクニカがリスク管理支援SaaS | 日経クロステック（xTECH）.md,3,日経xTECH,Mythos発見の脆弱性も慌てず対処可能に、マクニカがリスク管理支援SaaS | 日経クロステック（xTECH）
2026-05-28,IT,,/app/src/data/日経xTECH/20260528/IT/IT大手4社トップが語るSaaSの死　富士通「現状固執では成長できない」 | 日経クロステック（xTECH）.md,3,日経xTECH,IT大手4社トップが語るSaaSの死　富士通「現状固執では成長できない」 | 日経クロステック（xTECH）
2026-05-28,IT,,/app/src/data/日経xTECH/20260528/IT/NTTデータG社長がNTT副社長に　佐々木裕氏、生え抜き初の持ち株三役 | 日経クロステック（xTECH）.md,2,日経xTECH,NTTデータG社長がNTT副社長に　佐々木裕氏、生え抜き初の持ち株三役 | 日経クロステック（xTECH）
2026-05-28,IT,,/app/src/data/日経xTECH/20260528/IT/総務省が自治体にサイバー対策「義務化」 | 日経クロステック（xTECH）.md,4,日経xTECH,総務省が自治体にサイバー対策「義務化」 | 日経クロステック（xTECH）
2026-05-28,IT,,/app/src/data/日経xTECH/20260528/IT/自治体ネットワークの「三層分離」を理解する | 日経クロステック（xTECH）.md,3,日経xTECH,自治体ネットワークの「三層分離」を理解する | 日経クロステック（xTECH）
